% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 94.61    0.013080        4360         3           wait4
  1.10    0.000152           3        49        32 access
  1.03    0.000142          47         3           vfork
  0.92    0.000127           2        57        25 stat
  0.70    0.000097           5        19        12 openat
  0.59    0.000081           3        24           lstat
  0.15    0.000021           7         3           unlink
  0.14    0.000019           3         6           mmap
  0.12    0.000016           4         4           mprotect
  0.11    0.000015           2         8           readlink
  0.10    0.000014           2         7           close
  0.09    0.000012           1         9           rt_sigaction
  0.06    0.000008           2         4           brk
  0.05    0.000007           7         1           munmap
  0.05    0.000007           2         3           ioctl
  0.04    0.000006           2         3           read
  0.04    0.000006           2         4           fstat
  0.03    0.000004           2         2           getcwd
  0.03    0.000004           2         2           prlimit64
  0.02    0.000003           1         3           getpid
  0.01    0.000002           2         1           execve
  0.01    0.000002           2         1           arch_prctl
------ ----------- ----------- --------- --------- ----------------
100.00    0.013825                   216        69 total
